,city,year,party,BL,Anzahl Bewerber,darunter Frauen,Prozent Frauen
898,Espenau,2016,CDU,HE,20,7.0,0.35
899,Espenau,2016,SPD,HE,28,8.0,0.2857142857142857
900,Espenau,2021,CDU,HE,19,3.0,0.15789473684210525
901,Espenau,2021,FDP,HE,5,1.0,0.2
902,Espenau,2021,GRÜNE,HE,17,7.0,0.4117647058823529
903,Espenau,2021,SPD,HE,26,10.0,0.38461538461538464
904,Feldatal,2011,CDU,HE,26,5.0,0.19230769230769232
905,Feldatal,2011,FDP,HE,12,5.0,0.4166666666666667
906,Feldatal,2011,GRÜNE,HE,16,7.0,0.4375
907,Feldatal,2011,SPD,HE,34,10.0,0.29411764705882354
908,Feldatal,2016,CDU,HE,31,10.0,0.3225806451612903
909,Feldatal,2016,GRÜNE,HE,8,6.0,0.75
910,Feldatal,2016,SPD,HE,21,3.0,0.14285714285714285
911,Feldatal,2021,SPD,HE,14,1.0,0.07142857142857142
912,Felsberg,2011,CDU,HE,40,6.0,0.15
913,Felsberg,2011,FDP,HE,24,8.0,0.3333333333333333
914,Felsberg,2011,GRÜNE,HE,18,9.0,0.5
915,Felsberg,2011,SPD,HE,30,4.0,0.13333333333333333
916,Felsberg,2016,CDU,HE,24,8.0,0.3333333333333333
917,Felsberg,2016,GRÜNE,HE,5,3.0,0.6
918,Felsberg,2016,SPD,HE,26,5.0,0.19230769230769232
919,Felsberg,2021,CDU,HE,18,5.0,0.2777777777777778
920,Felsberg,2021,SPD,HE,27,7.0,0.25925925925925924
921,Fernwald,2011,CDU,HE,23,5.0,0.21739130434782608
922,Fernwald,2011,SPD,HE,17,,
923,Fernwald,2016,CDU,HE,39,14.0,0.358974358974359
924,Fernwald,2016,FDP,HE,26,8.0,0.3076923076923077
925,Fernwald,2016,GRÜNE,HE,13,3.0,0.23076923076923078
926,Fernwald,2016,SPD,HE,45,18.0,0.4
927,Fernwald,2021,AfD,HE,24,7.0,0.2916666666666667
928,Fernwald,2021,CDU,HE,68,24.0,0.35294117647058826
929,Fernwald,2021,FDP,HE,64,17.0,0.265625
930,Fernwald,2021,GRÜNE,HE,70,32.0,0.45714285714285713
931,Fernwald,2021,SPD,HE,66,34.0,0.5151515151515151
932,Fischbachtal,2011,CDU,HE,39,10.0,0.2564102564102564
933,Fischbachtal,2011,FDP,HE,18,7.0,0.3888888888888889
934,Fischbachtal,2011,GRÜNE,HE,15,4.0,0.26666666666666666
935,Fischbachtal,2011,SPD,HE,41,11.0,0.2682926829268293
936,Fischbachtal,2016,CDU,HE,42,16.0,0.38095238095238093
937,Fischbachtal,2016,FDP,HE,16,8.0,0.5
938,Fischbachtal,2016,GRÜNE,HE,18,9.0,0.5
939,Fischbachtal,2016,SPD,HE,45,22.0,0.4888888888888889
940,Fischbachtal,2021,CDU,HE,44,16.0,0.36363636363636365
941,Fischbachtal,2021,FDP,HE,18,8.0,0.4444444444444444
942,Fischbachtal,2021,GRÜNE,HE,30,12.0,0.4
943,Fischbachtal,2021,SPD,HE,43,21.0,0.4883720930232558
944,Flieden,2011,CDU,HE,4,,
945,Flieden,2011,SPD,HE,15,3.0,0.2
946,Flieden,2016,CDU,HE,41,15.0,0.36585365853658536
947,Flieden,2016,FDP,HE,11,6.0,0.5454545454545454
948,Flieden,2016,SPD,HE,16,5.0,0.3125
949,Flieden,2021,AfD,HE,16,4.0,0.25
950,Flieden,2021,CDU,HE,69,23.0,0.3333333333333333
951,Flieden,2021,FDP,HE,35,6.0,0.17142857142857143
952,Flieden,2021,GRÜNE,HE,36,17.0,0.4722222222222222
953,Flieden,2021,SPD,HE,37,9.0,0.24324324324324326
954,Florstadt,2011,CDU,HE,25,7.0,0.28
955,Florstadt,2011,GRÜNE,HE,8,4.0,0.5
956,Florstadt,2011,SPD,HE,18,4.0,0.2222222222222222
957,Florstadt,2016,CDU,HE,46,18.0,0.391304347826087
958,Florstadt,2016,FDP,HE,16,7.0,0.4375
959,Florstadt,2016,GRÜNE,HE,17,7.0,0.4117647058823529
960,Florstadt,2016,SPD,HE,38,12.0,0.3157894736842105
961,Florstadt,2021,CDU,HE,34,9.0,0.2647058823529412
962,Florstadt,2021,FDP,HE,24,9.0,0.375
963,Florstadt,2021,GRÜNE,HE,42,20.0,0.47619047619047616
964,Florstadt,2021,SPD,HE,48,20.0,0.4166666666666667
965,Flörsbachtal,2011,CDU,HE,26,9.0,0.34615384615384615
966,Flörsbachtal,2011,SPD,HE,25,10.0,0.4
967,Flörsbachtal,2016,CDU,HE,39,11.0,0.28205128205128205
968,Flörsbachtal,2016,GRÜNE,HE,14,6.0,0.42857142857142855
969,Flörsbachtal,2016,SPD,HE,28,11.0,0.39285714285714285
970,Flörsbachtal,2021,CDU,HE,44,11.0,0.25
971,Flörsbachtal,2021,GRÜNE,HE,22,10.0,0.45454545454545453
972,Flörsbachtal,2021,SPD,HE,20,5.0,0.25
973,Flörsheim am Main,2011,CDU,HE,35,10.0,0.2857142857142857
974,Flörsheim am Main,2011,FDP,HE,14,5.0,0.35714285714285715
975,Flörsheim am Main,2011,SPD,HE,26,8.0,0.3076923076923077
976,Flörsheim am Main,2016,CDU,HE,39,9.0,0.23076923076923078
977,Flörsheim am Main,2016,FDP,HE,27,7.0,0.25925925925925924
978,Flörsheim am Main,2016,GRÜNE,HE,15,5.0,0.3333333333333333
979,Flörsheim am Main,2016,SPD,HE,44,20.0,0.45454545454545453
980,Flörsheim am Main,2021,CDU,HE,40,9.0,0.225
981,Flörsheim am Main,2021,FDP,HE,25,6.0,0.24
982,Flörsheim am Main,2021,GRÜNE,HE,16,8.0,0.5
983,Flörsheim am Main,2021,SPD,HE,42,20.0,0.47619047619047616
984,Frankenau,2011,CDU,HE,14,5.0,0.35714285714285715
985,Frankenau,2011,FDP,HE,10,4.0,0.4
986,Frankenau,2011,SPD,HE,28,10.0,0.35714285714285715
987,Frankenau,2016,CDU,HE,27,6.0,0.2222222222222222
988,Frankenau,2016,FDP,HE,14,3.0,0.21428571428571427
989,Frankenau,2016,GRÜNE,HE,10,5.0,0.5
990,Frankenau,2016,SPD,HE,14,2.0,0.14285714285714285
991,Frankenau,2021,CDU,HE,34,8.0,0.23529411764705882
992,Frankenau,2021,FDP,HE,11,3.0,0.2727272727272727
993,Frankenau,2021,GRÜNE,HE,24,9.0,0.375
994,Frankenau,2021,SPD,HE,37,13.0,0.35135135135135137
995,Frankenberg (Eder),2011,CDU,HE,12,2.0,0.16666666666666666
996,Frankenberg (Eder),2011,SPD,HE,19,6.0,0.3157894736842105
997,Frankenberg (Eder),2016,CDU,HE,35,11.0,0.3142857142857143
998,Frankenberg (Eder),2016,FDP,HE,14,1.0,0.07142857142857142
999,Frankenberg (Eder),2016,SPD,HE,40,14.0,0.35
1000,Frankenberg (Eder),2021,CDU,HE,24,7.0,0.2916666666666667
1001,Frankenberg (Eder),2021,SPD,HE,15,5.0,0.3333333333333333
1002,Frankfurt am Main,2011,CDU,HE,104,35.0,0.33653846153846156
1003,Frankfurt am Main,2011,FDP,HE,101,30.0,0.297029702970297
1004,Frankfurt am Main,2011,GRÜNE,HE,48,24.0,0.5
1005,Frankfurt am Main,2011,SPD,HE,104,41.0,0.3942307692307692
1006,Frankfurt am Main,2016,AfD,HE,31,10.0,0.3225806451612903
1007,Frankfurt am Main,2016,CDU,HE,104,36.0,0.34615384615384615
1008,Frankfurt am Main,2016,FDP,HE,102,34.0,0.3333333333333333
1009,Frankfurt am Main,2016,GRÜNE,HE,61,31.0,0.5081967213114754
1010,Frankfurt am Main,2016,SPD,HE,104,52.0,0.5
1011,Frankfurt am Main,2021,AfD,HE,37,11.0,0.2972972972972973
1012,Frankfurt am Main,2021,CDU,HE,109,41.0,0.3761467889908257
1013,Frankfurt am Main,2021,FDP,HE,105,41.0,0.3904761904761905
1014,Frankfurt am Main,2021,GRÜNE,HE,92,46.0,0.5
1015,Frankfurt am Main,2021,SPD,HE,110,60.0,0.5454545454545454
1016,Freiensteinau,2011,CDU,HE,16,2.0,0.125
1017,Freiensteinau,2021,SPD,HE,15,7.0,0.4666666666666667
1018,Freigericht,2011,CDU,HE,46,15.0,0.32608695652173914
1019,Freigericht,2011,FDP,HE,26,8.0,0.3076923076923077
1020,Freigericht,2011,GRÜNE,HE,22,8.0,0.36363636363636365
1021,Freigericht,2011,SPD,HE,50,17.0,0.34
1022,Freigericht,2016,CDU,HE,45,12.0,0.26666666666666666
1023,Freigericht,2016,FDP,HE,17,5.0,0.29411764705882354
1024,Freigericht,2016,GRÜNE,HE,15,4.0,0.26666666666666666
1025,Freigericht,2016,SPD,HE,41,15.0,0.36585365853658536
1026,Freigericht,2021,CDU,HE,43,10.0,0.23255813953488372
1027,Freigericht,2021,FDP,HE,35,8.0,0.22857142857142856
1028,Freigericht,2021,GRÜNE,HE,30,13.0,0.43333333333333335
1029,Freigericht,2021,SPD,HE,41,12.0,0.2926829268292683
1030,Friedberg (Hessen),2011,CDU,HE,28,7.0,0.25
1031,Friedberg (Hessen),2011,FDP,HE,17,4.0,0.23529411764705882
1032,Friedberg (Hessen),2011,GRÜNE,HE,10,5.0,0.5
1033,Friedberg (Hessen),2011,SPD,HE,19,2.0,0.10526315789473684
1034,Friedberg (Hessen),2016,CDU,HE,21,6.0,0.2857142857142857
1035,Friedberg (Hessen),2016,SPD,HE,16,4.0,0.25
1036,Friedberg (Hessen),2021,CDU,HE,25,8.0,0.32
1037,Friedberg (Hessen),2021,SPD,HE,14,3.0,0.21428571428571427
1038,Friedewald,2011,CDU,HE,18,7.0,0.3888888888888889
1039,Friedewald,2011,SPD,HE,19,6.0,0.3157894736842105
1040,Friedewald,2016,CDU,HE,16,2.0,0.125
1041,Friedewald,2016,SPD,HE,16,6.0,0.375
1042,Friedewald,2021,CDU,HE,8,3.0,0.375
1043,Friedewald,2021,SPD,HE,23,6.0,0.2608695652173913
1044,Friedrichsdorf,2011,CDU,HE,41,14.0,0.34146341463414637
1045,Friedrichsdorf,2011,FDP,HE,35,14.0,0.4
1046,Friedrichsdorf,2011,GRÜNE,HE,15,6.0,0.4
1047,Friedrichsdorf,2011,SPD,HE,29,14.0,0.4827586206896552
1048,Friedrichsdorf,2016,CDU,HE,22,6.0,0.2727272727272727
1049,Friedrichsdorf,2016,FDP,HE,21,5.0,0.23809523809523808
1050,Friedrichsdorf,2016,GRÜNE,HE,17,5.0,0.29411764705882354
1051,Friedrichsdorf,2016,SPD,HE,17,10.0,0.5882352941176471
1052,Friedrichsdorf,2021,CDU,HE,18,6.0,0.3333333333333333
1053,Friedrichsdorf,2021,FDP,HE,21,6.0,0.2857142857142857
1054,Friedrichsdorf,2021,GRÜNE,HE,18,4.0,0.2222222222222222
1055,Friedrichsdorf,2021,SPD,HE,12,8.0,0.6666666666666666
1056,Frielendorf,2011,CDU,HE,41,11.0,0.2682926829268293
1057,Frielendorf,2011,FDP,HE,18,7.0,0.3888888888888889
1058,Frielendorf,2011,GRÜNE,HE,18,7.0,0.3888888888888889
1059,Frielendorf,2011,SPD,HE,43,12.0,0.27906976744186046
1060,Frielendorf,2016,CDU,HE,16,8.0,0.5
1061,Frielendorf,2016,SPD,HE,17,4.0,0.23529411764705882
1062,Frielendorf,2021,CDU,HE,42,14.0,0.3333333333333333
1063,Frielendorf,2021,FDP,HE,11,4.0,0.36363636363636365
1064,Frielendorf,2021,GRÜNE,HE,16,7.0,0.4375
1065,Frielendorf,2021,SPD,HE,37,9.0,0.24324324324324326
1066,Fritzlar,2011,CDU,HE,21,5.0,0.23809523809523808
1067,Fritzlar,2011,FDP,HE,16,4.0,0.25
1068,Fritzlar,2011,SPD,HE,27,9.0,0.3333333333333333
1069,Fritzlar,2016,CDU,HE,18,3.0,0.16666666666666666
1070,Fritzlar,2016,FDP,HE,10,3.0,0.3
1071,Fritzlar,2016,SPD,HE,27,7.0,0.25925925925925924
1072,Fritzlar,2021,CDU,HE,15,1.0,0.06666666666666667
1073,Fritzlar,2021,SPD,HE,17,7.0,0.4117647058823529
1074,Fronhausen,2011,CDU,HE,15,2.0,0.13333333333333333
1075,Fronhausen,2011,SPD,HE,15,2.0,0.13333333333333333
1076,Fronhausen,2016,CDU,HE,24,7.0,0.2916666666666667
1077,Fronhausen,2016,SPD,HE,20,2.0,0.1
1078,Fronhausen,2021,CDU,HE,42,7.0,0.16666666666666666
1079,Fronhausen,2021,GRÜNE,HE,19,7.0,0.3684210526315789
1080,Fronhausen,2021,SPD,HE,40,13.0,0.325
1081,Fränkisch-Crumbach,2011,CDU,HE,24,7.0,0.2916666666666667
1082,Fränkisch-Crumbach,2011,FDP,HE,11,6.0,0.5454545454545454
1083,Fränkisch-Crumbach,2011,SPD,HE,31,8.0,0.25806451612903225
1084,Fränkisch-Crumbach,2016,CDU,HE,34,6.0,0.17647058823529413
1085,Fränkisch-Crumbach,2016,SPD,HE,34,8.0,0.23529411764705882
1086,Fränkisch-Crumbach,2021,CDU,HE,33,8.0,0.24242424242424243
1087,Fränkisch-Crumbach,2021,GRÜNE,HE,14,7.0,0.5
1088,Fränkisch-Crumbach,2021,SPD,HE,25,5.0,0.2
1089,Fulda,2011,CDU,HE,7,1.0,0.14285714285714285
1090,Fulda,2011,SPD,HE,23,5.0,0.21739130434782608
1091,Fulda,2016,CDU,HE,35,9.0,0.2571428571428571
1092,Fulda,2016,SPD,HE,33,8.0,0.24242424242424243
1093,Fulda,2021,CDU,HE,25,6.0,0.24
1094,Fulda,2021,SPD,HE,21,8.0,0.38095238095238093
1095,Fuldabrück,2011,CDU,HE,18,7.0,0.3888888888888889
1096,Fuldabrück,2011,GRÜNE,HE,18,9.0,0.5
1097,Fuldabrück,2011,SPD,HE,33,7.0,0.21212121212121213
1098,Fuldabrück,2016,CDU,HE,28,7.0,0.25
1099,Fuldabrück,2016,GRÜNE,HE,17,7.0,0.4117647058823529
1100,Fuldabrück,2016,SPD,HE,37,13.0,0.35135135135135137
1101,Fuldabrück,2021,CDU,HE,41,10.0,0.24390243902439024
1102,Fuldabrück,2021,FDP,HE,14,4.0,0.2857142857142857
1103,Fuldabrück,2021,GRÜNE,HE,23,7.0,0.30434782608695654
1104,Fuldabrück,2021,SPD,HE,37,19.0,0.5135135135135135
1105,Fuldatal,2011,CDU,HE,25,5.0,0.2
1106,Fuldatal,2011,FDP,HE,21,7.0,0.3333333333333333
1107,Fuldatal,2011,GRÜNE,HE,21,5.0,0.23809523809523808
1108,Fuldatal,2011,SPD,HE,40,8.0,0.2
1109,Fuldatal,2016,CDU,HE,8,3.0,0.375
1110,Fuldatal,2016,SPD,HE,19,4.0,0.21052631578947367
1111,Fuldatal,2021,CDU,HE,37,11.0,0.2972972972972973
1112,Fuldatal,2021,FDP,HE,13,7.0,0.5384615384615384
1113,Fuldatal,2021,SPD,HE,28,6.0,0.21428571428571427
1114,Fürth,2011,CDU,HE,21,4.0,0.19047619047619047
1115,Fürth,2011,SPD,HE,20,3.0,0.15
1116,Fürth,2016,CDU,HE,33,12.0,0.36363636363636365
1117,Fürth,2016,GRÜNE,HE,10,4.0,0.4
1118,Fürth,2016,SPD,HE,18,4.0,0.2222222222222222
1119,Fürth,2021,CDU,HE,10,3.0,0.3
1120,Fürth,2021,SPD,HE,16,3.0,0.1875
1121,Gedern,2011,CDU,HE,19,3.0,0.15789473684210525
1122,Gedern,2011,GRÜNE,HE,13,8.0,0.6153846153846154
1123,Gedern,2011,SPD,HE,34,9.0,0.2647058823529412
1124,Gedern,2016,CDU,HE,9,2.0,0.2222222222222222
1125,Gedern,2016,GRÜNE,HE,12,6.0,0.5
1126,Gedern,2016,SPD,HE,29,8.0,0.27586206896551724
1127,Gedern,2021,CDU,HE,7,3.0,0.42857142857142855
1128,Gedern,2021,GRÜNE,HE,11,3.0,0.2727272727272727
1129,Gedern,2021,SPD,HE,16,5.0,0.3125
1130,Geisenheim,2011,CDU,HE,52,16.0,0.3076923076923077
1131,Geisenheim,2011,FDP,HE,51,20.0,0.39215686274509803
1132,Geisenheim,2011,SPD,HE,36,13.0,0.3611111111111111
1133,Geisenheim,2016,CDU,HE,42,12.0,0.2857142857142857
1134,Geisenheim,2016,FDP,HE,21,6.0,0.2857142857142857
1135,Geisenheim,2016,GRÜNE,HE,22,12.0,0.5454545454545454
1136,Geisenheim,2016,SPD,HE,40,11.0,0.275
1137,Geisenheim,2021,AfD,HE,10,3.0,0.3
1138,Geisenheim,2021,CDU,HE,35,10.0,0.2857142857142857
1139,Geisenheim,2021,FDP,HE,12,5.0,0.4166666666666667
1140,Geisenheim,2021,GRÜNE,HE,14,7.0,0.5
1141,Geisenheim,2021,SPD,HE,36,10.0,0.2777777777777778
1142,Gelnhausen,2011,CDU,HE,31,9.0,0.2903225806451613
1143,Gelnhausen,2011,FDP,HE,11,5.0,0.45454545454545453
1144,Gelnhausen,2011,SPD,HE,29,11.0,0.3793103448275862
1145,Gelnhausen,2016,CDU,HE,30,15.0,0.5
1146,Gelnhausen,2016,FDP,HE,21,7.0,0.3333333333333333
1147,Gelnhausen,2016,SPD,HE,17,8.0,0.47058823529411764
1148,Gelnhausen,2021,CDU,HE,31,17.0,0.5483870967741935
1149,Gelnhausen,2021,FDP,HE,19,7.0,0.3684210526315789
1150,Gelnhausen,2021,SPD,HE,14,6.0,0.42857142857142855
1151,Gemünden (Felda),2011,CDU,HE,16,6.0,0.375
1152,Gemünden (Felda),2011,SPD,HE,8,1.0,0.125
1153,Gemünden (Felda),2016,CDU,HE,39,11.0,0.28205128205128205
1154,Gemünden (Felda),2016,FDP,HE,15,1.0,0.06666666666666667
1155,Gemünden (Felda),2016,GRÜNE,HE,18,9.0,0.5
1156,Gemünden (Felda),2016,SPD,HE,40,9.0,0.225
1157,Gemünden (Felda),2021,CDU,HE,18,6.0,0.3333333333333333
1158,Gemünden (Felda),2021,SPD,HE,14,2.0,0.14285714285714285
1159,Gemünden (Wohra),2011,CDU,HE,35,12.0,0.34285714285714286
1160,Gemünden (Wohra),2011,FDP,HE,12,3.0,0.25
1161,Gemünden (Wohra),2011,GRÜNE,HE,17,7.0,0.4117647058823529
1162,Gemünden (Wohra),2011,SPD,HE,33,4.0,0.12121212121212122
1163,Gemünden (Wohra),2016,AfD,HE,11,7.0,0.6363636363636364
1164,Gemünden (Wohra),2016,CDU,HE,33,11.0,0.3333333333333333
1165,Gemünden (Wohra),2016,FDP,HE,14,4.0,0.2857142857142857
1166,Gemünden (Wohra),2016,SPD,HE,30,7.0,0.23333333333333334
1167,Gemünden (Wohra),2021,SPD,HE,21,3.0,0.14285714285714285
1168,Gernsheim,2011,CDU,HE,21,7.0,0.3333333333333333
1169,Gernsheim,2011,SPD,HE,39,9.0,0.23076923076923078
1170,Gernsheim,2016,CDU,HE,21,3.0,0.14285714285714285
1171,Gernsheim,2016,FDP,HE,18,9.0,0.5
1172,Gernsheim,2016,GRÜNE,HE,13,5.0,0.38461538461538464
1173,Gernsheim,2016,SPD,HE,44,16.0,0.36363636363636365
1174,Gernsheim,2021,CDU,HE,31,7.0,0.22580645161290322
1175,Gernsheim,2021,FDP,HE,18,8.0,0.4444444444444444
1176,Gernsheim,2021,GRÜNE,HE,19,8.0,0.42105263157894735
1177,Gernsheim,2021,SPD,HE,31,11.0,0.3548387096774194
1178,Gersfeld (Rhön),2011,CDU,HE,27,10.0,0.37037037037037035
1179,Gersfeld (Rhön),2011,SPD,HE,27,6.0,0.2222222222222222
1180,Gersfeld (Rhön),2016,CDU,HE,41,8.0,0.1951219512195122
1181,Gersfeld (Rhön),2016,FDP,HE,14,4.0,0.2857142857142857
1182,Gersfeld (Rhön),2016,GRÜNE,HE,15,5.0,0.3333333333333333
1183,Gersfeld (Rhön),2016,SPD,HE,17,6.0,0.35294117647058826
1184,Gersfeld (Rhön),2021,CDU,HE,30,4.0,0.13333333333333333
1185,Gersfeld (Rhön),2021,SPD,HE,15,3.0,0.2
1186,Gießen,2011,CDU,HE,23,3.0,0.13043478260869565
1187,Gießen,2011,FDP,HE,5,,
1188,Gießen,2011,SPD,HE,25,9.0,0.36
1189,Gießen,2016,CDU,HE,40,13.0,0.325
1190,Gießen,2016,FDP,HE,16,5.0,0.3125
1191,Gießen,2016,SPD,HE,38,11.0,0.2894736842105263
1192,Gießen,2021,CDU,HE,38,12.0,0.3157894736842105
1193,Gießen,2021,FDP,HE,13,1.0,0.07692307692307693
1194,Gießen,2021,GRÜNE,HE,18,6.0,0.3333333333333333
1195,Gießen,2021,SPD,HE,33,10.0,0.30303030303030304
1196,Gilserberg,2016,CDU,HE,29,11.0,0.3793103448275862
1197,Gilserberg,2016,FDP,HE,29,8.0,0.27586206896551724
1198,Gilserberg,2016,GRÜNE,HE,14,10.0,0.7142857142857143
1199,Gilserberg,2016,SPD,HE,38,10.0,0.2631578947368421
1200,Gilserberg,2021,CDU,HE,14,5.0,0.35714285714285715
1201,Gilserberg,2021,GRÜNE,HE,12,3.0,0.25
1202,Gilserberg,2021,SPD,HE,32,9.0,0.28125
1203,Ginsheim-Gustavsburg,2011,CDU,HE,42,10.0,0.23809523809523808
1204,Ginsheim-Gustavsburg,2011,FDP,HE,23,12.0,0.5217391304347826
1205,Ginsheim-Gustavsburg,2011,GRÜNE,HE,27,14.0,0.5185185185185185
1206,Ginsheim-Gustavsburg,2011,SPD,HE,52,18.0,0.34615384615384615
1207,Ginsheim-Gustavsburg,2016,CDU,HE,37,11.0,0.2972972972972973
1208,Ginsheim-Gustavsburg,2016,FDP,HE,13,6.0,0.46153846153846156
1209,Ginsheim-Gustavsburg,2016,GRÜNE,HE,18,9.0,0.5
1210,Ginsheim-Gustavsburg,2016,SPD,HE,35,14.0,0.4
1211,Ginsheim-Gustavsburg,2021,AfD,HE,3,,
1212,Ginsheim-Gustavsburg,2021,CDU,HE,42,11.0,0.2619047619047619
1213,Ginsheim-Gustavsburg,2021,DIE LINKE,HE,13,3.0,0.23076923076923078
1214,Ginsheim-Gustavsburg,2021,FDP,HE,15,7.0,0.4666666666666667
1215,Ginsheim-Gustavsburg,2021,GRÜNE,HE,30,15.0,0.5
1216,Ginsheim-Gustavsburg,2021,SPD,HE,28,11.0,0.39285714285714285
1217,Gladenbach,2011,CDU,HE,28,5.0,0.17857142857142858
1218,Gladenbach,2011,FDP,HE,6,,
1219,Gladenbach,2011,SPD,HE,33,6.0,0.18181818181818182
1220,Gladenbach,2016,CDU,HE,24,3.0,0.125
1221,Gladenbach,2016,SPD,HE,24,7.0,0.2916666666666667
1222,Gladenbach,2021,CDU,HE,36,11.0,0.3055555555555556
1223,Gladenbach,2021,FDP,HE,12,4.0,0.3333333333333333
1224,Gladenbach,2021,GRÜNE,HE,18,9.0,0.5
1225,Gladenbach,2021,SPD,HE,38,12.0,0.3157894736842105
1226,Glashütten,2011,CDU,HE,37,15.0,0.40540540540540543
1227,Glashütten,2011,FDP,HE,22,7.0,0.3181818181818182
1228,Glashütten,2011,GRÜNE,HE,12,4.0,0.3333333333333333
1229,Glashütten,2011,SPD,HE,33,8.0,0.24242424242424243
1230,Glashütten,2016,CDU,HE,25,7.0,0.28
1231,Glashütten,2016,GRÜNE,HE,13,6.0,0.46153846153846156
1232,Glashütten,2016,SPD,HE,10,5.0,0.5
1233,Glashütten,2021,CDU,HE,24,6.0,0.25
1234,Glashütten,2021,GRÜNE,HE,26,11.0,0.4230769230769231
1235,Glashütten,2021,SPD,HE,15,7.0,0.4666666666666667
1236,Glauburg,2011,CDU,HE,21,6.0,0.2857142857142857
1237,Glauburg,2011,GRÜNE,HE,12,5.0,0.4166666666666667
1238,Glauburg,2011,SPD,HE,26,6.0,0.23076923076923078
1239,Glauburg,2016,CDU,HE,21,3.0,0.14285714285714285
1240,Glauburg,2016,SPD,HE,22,1.0,0.045454545454545456
1241,Glauburg,2021,CDU,HE,17,4.0,0.23529411764705882
1242,Glauburg,2021,SPD,HE,2,2.0,1.0
1243,Gorxheimertal,2011,CDU,HE,41,15.0,0.36585365853658536
1244,Gorxheimertal,2011,FDP,HE,16,5.0,0.3125
1245,Gorxheimertal,2011,SPD,HE,45,18.0,0.4
1246,Gorxheimertal,2016,CDU,HE,25,7.0,0.28
1247,Gorxheimertal,2016,GRÜNE,HE,18,8.0,0.4444444444444444
1248,Gorxheimertal,2016,SPD,HE,20,8.0,0.4
1249,Gorxheimertal,2021,CDU,HE,24,5.0,0.20833333333333334
1250,Gorxheimertal,2021,GRÜNE,HE,17,10.0,0.5882352941176471
1251,Gorxheimertal,2021,SPD,HE,18,9.0,0.5
1252,Grasellenbach,2011,CDU,HE,21,7.0,0.3333333333333333
1253,Grasellenbach,2011,SPD,HE,17,4.0,0.23529411764705882
1254,Grasellenbach,2016,CDU,HE,12,2.0,0.16666666666666666
1255,Grasellenbach,2016,SPD,HE,20,3.0,0.15
1256,Grasellenbach,2021,CDU,HE,10,2.0,0.2
1257,Grasellenbach,2021,SPD,HE,19,3.0,0.15789473684210525
1258,Grebenau,2011,CDU,HE,40,9.0,0.225
1259,Grebenau,2011,SPD,HE,39,8.0,0.20512820512820512
1260,Grebenau,2016,CDU,HE,12,4.0,0.3333333333333333
1261,Grebenau,2016,SPD,HE,18,5.0,0.2777777777777778
1262,Grebenau,2021,CDU,HE,25,5.0,0.2
1263,Grebenau,2021,SPD,HE,29,11.0,0.3793103448275862
1264,Grebenhain,2011,CDU,HE,34,8.0,0.23529411764705882
1265,Grebenhain,2011,GRÜNE,HE,14,6.0,0.42857142857142855
1266,Grebenhain,2011,SPD,HE,33,9.0,0.2727272727272727
1267,Grebenhain,2016,CDU,HE,35,10.0,0.2857142857142857
1268,Grebenhain,2016,GRÜNE,HE,14,7.0,0.5
1269,Grebenhain,2016,SPD,HE,33,7.0,0.21212121212121213
1270,Grebenhain,2021,CDU,HE,25,6.0,0.24
1271,Grebenhain,2021,SPD,HE,16,7.0,0.4375
1272,Grebenstein,2011,CDU,HE,25,5.0,0.2
1273,Grebenstein,2011,SPD,HE,32,5.0,0.15625
1274,Grebenstein,2016,CDU,HE,22,10.0,0.45454545454545453
1275,Grebenstein,2016,GRÜNE,HE,19,5.0,0.2631578947368421
1276,Grebenstein,2016,SPD,HE,40,10.0,0.25
1277,Grebenstein,2021,CDU,HE,24,10.0,0.4166666666666667
1278,Grebenstein,2021,GRÜNE,HE,5,3.0,0.6
1279,Grebenstein,2021,SPD,HE,28,12.0,0.42857142857142855
1280,Greifenstein,2011,CDU,HE,12,1.0,0.08333333333333333
1281,Greifenstein,2011,SPD,HE,13,3.0,0.23076923076923078
1282,Greifenstein,2016,CDU,HE,20,5.0,0.25
1283,Greifenstein,2016,GRÜNE,HE,12,4.0,0.3333333333333333
1284,Greifenstein,2016,SPD,HE,18,5.0,0.2777777777777778
1285,Greifenstein,2021,AfD,HE,8,3.0,0.375
1286,Greifenstein,2021,CDU,HE,48,17.0,0.3541666666666667
1287,Greifenstein,2021,FDP,HE,36,11.0,0.3055555555555556
1288,Greifenstein,2021,SPD,HE,22,7.0,0.3181818181818182
1289,Griesheim,2011,CDU,HE,42,13.0,0.30952380952380953
1290,Griesheim,2011,FDP,HE,15,6.0,0.4
1291,Griesheim,2011,GRÜNE,HE,18,6.0,0.3333333333333333
1292,Griesheim,2011,SPD,HE,42,12.0,0.2857142857142857
1293,Griesheim,2016,CDU,HE,25,3.0,0.12
1294,Griesheim,2016,FDP,HE,10,4.0,0.4
1295,Griesheim,2016,SPD,HE,30,11.0,0.36666666666666664
1296,Griesheim,2021,CDU,HE,22,5.0,0.22727272727272727
1297,Griesheim,2021,FDP,HE,11,4.0,0.36363636363636365
1298,Griesheim,2021,GRÜNE,HE,10,6.0,0.6
1299,Griesheim,2021,SPD,HE,30,12.0,0.4
1300,Groß-Bieberau,2011,CDU,HE,19,3.0,0.15789473684210525
1301,Groß-Bieberau,2011,FDP,HE,8,2.0,0.25
