Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV;Phänomenbereic h;Zähldelikt §;Bezeichnung;Betroffene Partei
101;18.02.2021;Illerrieden ;"UT beschmierte ein Wahlplakat der Partei ""Bündnis90/Die 0 Grünen, auf dem der Ministerpräsident BW zu sehen ist, mit dem Wort ""Kommunist"". Weiterhin wurde ein Wahlplakat der Partei ""CDU"", auf dem die Kultusministerin abgebildet ist, mit den Worten ""weniger Staat""
beschmiert.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CDU 
102;15.02.2021;Leutenbach;"UT beschmierten Wahlplakate der Partei Die Linke, SPD sowie Bündnis90/Die Grünen. U. a. wurde der Schriftzug ""Fuck (Name der Bundeskanzlerin)"" und ""Flurensohn"" angebracht. Laut FZA 3/2021 UAZ SPD ergänzt.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, SPD, Sonstige Partei, CDU, Die Linke
103;12.02.2021;Stuttgart;"UT brachte insgesamt zwei seitenverkehrte Flakenkreuze, links und rechts am Flaupteingang des Rathauses. Zudem stand unter dem linken Symbol ""(Name bekannt)"", für den Innenminister des Landes Baden-Württemberg und unter dem rechten Flakenkreuz ""Wienfried""(Schreibfehler übernommen), für den Ministerpräsidenten des Landes Baden-Württemberg.";0;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Bündnis 90/Die Grünen CDU
104;16.02.2021;Fleilbronn;"UT beschmierte ein Wahlplakat der Partei ""AfD"" mit einem ""Flakenkreuz"", welches auf die Stirn des Kandidaten platziert wurde.";0;Nicht zuzuordnen;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
105;12.02.2021;Albstadt;"Das personalisierte Wahlplakat der SPD-Landtagskandidatin wird mit einer angedeuteten Mundnasen-Maske und dem Wortlaut „wir versklaven euch!"" besprüht. Weiterhin wird das Wahlplakat der CDU-Kandidatin E. mit dem Wortlaut ""wir versklaven euch"" und das Wahlplakat der CDU-Kandidatin Fl.mit einer angedeuteten Mund-Nasen-Maske und dem Wortlaut ""Grund-GESETZ"" welches mit einem „X"" durchgestrichen wird, besprüht. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU, SPD
106;08.02.2021;Stuttgart;"In der Rotweganlage in Stgt, angrenzend an die Sersheimer Straße, zu einer Sachbeschädigung durch Farbschmiererei. Schriftzügen besprüht: - Covid ist Merkel-Mörder WHO- Merkel= Kill Bill- CDU Homo- Schwuchtel Spahn- Fuck Covid Lüge- Spahn Schwuchtel- Fuck Covid-Merkel muss weg. Die Schriftzüge nehmen alle politischen Bezug auf die aktuelle Corona Lage und der bevorstehenden Landtagswahlen. Hierbei werden vor allem der Gesundheitsminister Jens Spahn und die Bundeskanzlerin Angela Merkel beleidigt. Zusammenhand zu ST/0244196/2021; ST/0245493/2021; ST/0245542/2021 cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CDU
107;08.02.2021;Stuttgart;"An der U-Bahnhaltestelle „Fürfelderstraße"" kam es zu Farbschmiererei. UT besprühten insge. drei von vier Wartehäuschen. Ein Wartehäuschen an der angrenzenden Bushaltestelle wurde ebenfalls mit Farbe beschmiert. Alle Schriftzüge nehmen Bezug auf die aktuelle Corona Lage und die bevorstehende Landtagswahl in BW. Hierbei werden vor allem der Gesundheitsminister Jens Spahn und die Bundeskanzlerin Angela Merkel beleidigt. Des Weiteren wird die Corona Pandemie als Lüge hingestellt. Folgende Schriftzüge konnten festgestellt werden: -Fuck CDU- Covid 19 Lüge- Wirtschaft am Arsch- Spahn Schwuchtel-CDU&SPD weg- Spahn muss weg- Merkel muss weg-Sau Merkel- FreiheitBänker=Gesundheit- Merkel Kill Bill- Fuck Covid. Steht im Zusammenhang mit (ST/0245493/2021, ST/0245542/2021, ST/0244196/2021). cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD, CDU
108;08.02.2021;Stuttgart;"Eine U-Bahn-Haltestelle ""Fürfelder Straße""(ST/0244196/2021), die angrenzenden Rotweganlagen (ST/0245255/2021) und ein Zaun des Ferdinand-Porsche-Gymnasium wurden mit Farbe besprüht. Der Sichtschutzzaun des Ferdinand-Porsche Gymnasiums wurde mit den Worten: Spahn Schuchtel Bänker - Mörder Merkel- RKI Lüge - Fuck Billy Gates - Fuck Covid 19 - Merkel muss weg - Fuck Zion besprüht. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
109;07.02.2021;Heddesheim ;Auf ein Wahlplakat der CDU mit abgebildeter Kandidatin 0 wurde das Wort Lesbe geschrieben.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
110;07.02.2021;Eriskirch;UT sprühten auf ein Wahlplakat der Partei Bündnis 90/Die Grünen, auf dem der Wahlslogan Er weiß, was wir können (mit Bezug auf den BW Ministerpräsidenten) das Wort nix und Lügenbande.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
111;05.02.2021;Karlsruhe;Der UT schickte eine E-Mail in englischer Sprache an die Staatsanwaltschaft Karlsruhe. In dieser werden Kennzeichen verfassungswidriger Organisationen verwendet und der GS (Richter AG Bonn) beleidigt. Zu Beginn des Textes sind zwei Bilder zu sehen, beim ersten Bild wird ein Gericht währen der Nazi - Zeit mit Hakenkreuz dargestellt, auf dem zweiten mit dem gleichen Hintergrund sind u. a. juristische Personen, Bundeskanzlerin Merkel, Bundespräsident Steinmeier, Ministerpräsident von Nordrhein -Westfalen, Armin Laschet und die Deutschlandfahne abgebildet. Die beiden Darstellungen der Gerichte werden in Beziehung zueinander gesetzt.;0;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Justiz
112;16.02.2021;Stuttgart;"Der UT beschmierte ein Wahlplakat der Partei ""CDU"" mit den Schriftzügen: 1. ""Planlos Schlafen + nix Schaffen""2. ""TUI etc Monopole statt RKI""3. ""Gastro, EZH, Kampf + Kulturtote""4. ""Abdanken Merkel + 12""";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
113;28.02.2021;Heilbronn;UT entwendet und beschädigt durch Aufkleber mehrere Wahlplakate der AfD.;0;Nicht zuzuordnen;§242 StGB;Diebstahl;AfD
114;18.02.2021;Offen bürg;UT besprühten ein Wahlplakat der CDU, auf dem ein Mitglied des Landtages zu sehen ist, mit einem Penis. Dieser wurde auf das Gesicht des GE gesprüht.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
115;18.02.2021;Offen bürg;UT beschmierten ein Wahlplakat der CDU auf dem ein Mitglied des Landtages abgebildet war, mit einem Hitlerbärtchen.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
116;22.02.2021;Walldürn;"UT beschmierte ein AfD-Wahlplakat am Karl-Heinz-Joseph Kreisel in Walldürn mit den Worten "" Fick Dich"". Auf einem weiteren Wahlpalakt der AfD, Flöhe LIDL-Filiale, konnten ebenfalls Schmierereien festgestellt werden. Im vorliegenden Sachverhalt muss von einer linksmotivierten Tatbegehung ausgegangen werden. An der Tatörtlichkeit befinden sich mehrere Wahlplakate verschiedener Parteien. Es wurden lediglich die Plakate der AfD angegriffen. Die AfD steht nach wie vor im Fokus des linksorientierten und linksextremistischen Lagers.";0;Links;§303 StGB;Sachbeschädigung;AfD
117;18.02.2021;Großrinderfeld;"UT beschmierte Wahlplakate der Partei ""AfD"". Auf einem der Plakate, welches das Konterfei der Frau B. zeigt, wurde Gesicht und der Schriftzug AfD rot übersprüht. Am zweiten Wahlplakat, Motiv:"" Landwirte wertschätzen!"" wurde ein rotes Kreuz aufgesprüht und ebenfalls der Schriftzug AfD übersprüht. In beiden Fällen war die Schrift trotz aufgesprühter roter Farbe noch lesbar.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;AfD
118;18.02.2021;Grünsfeld;"UT verändert durch Beschriftung ein an der Tatörtlichkeit angebrachtes Wahlplakat der AfD, welches das Konterfei der Kandidatin zeigt. Über der Oberlippe wird ein „Schnurrbart"" aufgezeichnet, außerdem wird auf Flöhe des Halses die Beschriftung ""NAZI!"" aufgebracht. Laut FZA 3/2021 wurde Extremistisch in Nein und PHB in Nicht zuzuordnen geändert.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;AfD
119;20.02.2021;Pforzheim;UT sprühten ein HK auf ein Wahlplakat der SPD. Bei einem Wahlplakat der Linken wurde der Wahlspruch durchgestrichen.;0;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Die Linke, SPD
120;20.02.2021;Stetten;UT schmierten ein Hitlerbärtchen auf ein Wahlplakat der Partei Bündnis 90/Die Grünen. Auf dem Wahlplakat ist der BW MP abgebildet.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
121;18.02.2021;Ludwigsburg;Bislang unbekannte Täterschaft beschädigte eine Wahlsäule der Partei Bündnis 90 / Die Grünen auf welcher drei Wahlplakate angebracht waren. Diese wurden mit schwarzer Sprühfarbe unkenntlich gemacht und abgerissen. Auf einem der Plakate wurde der Ministerpräsident Kretschmann als Teufel beschmiert.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
122;25.02.2021;Gäufelden;"UT sprüht mit roter Farbe dem Schriftzug ""grüner Verbrecher"" (Schreibweise übernommen) über das Bild des Flerrn (Name bekannt) auf einem Wahlplakat von Bündnis 90 / Die Grünen. Darunter wurde, ebenfalls mit roter Farbe, eine Fland mit ausgestrecktem Mittelfinger aufgesprüht.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
123;22.02.2021;Haiterbach;UT beschädigten Wahlplakate der Parteien Bündnis 90/Die Grünen, CDU und FDP. Außerdem wurden Politikern der Grünen und der FDP Hitlerbä rtchen aufgemalt. Zudem wurden Plakate der AfD und SPD hinter ein Buswartehäuschen geworfen.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, SPD, AfD, CDU, FDP
124;20.02.2021;Schorndorf;"Ca 20 Personen des linke Spektrums verteilten Flyer und trugen Transparente bzw. Banner mit sich. Sie begaben sich zu dem AfD Stand und riefen: „Alerta, Alerta, Antifascista"" und „ob PEGIDA oder AfD stoppt den Rechtsruck in der BRD"". Die Personen trugen zum Großteil einen MNS sowie Schaals und teilweise Mützen oder Caps. Am Informationsstand der AfD wurden durch die Gruppe 2 Transparente entfaltet, Fahnen geschwungen und der Informationsstand der AfD umkreist, um diesen abzuschirmen. Eines der Transparente trug die Aufschrift „antifascist action! - GEGEN RECHTE KRIESENLÖSUNGEN"". Das andere Transparent hatte die Aufschrift: „NICHT meine Alternative!"". Hiernach eskalierten die Situation und der GS (Mitglied des deutschen Bundestages) wurde daraufhin durch Personen, welche die Transparente hielten gestoßen bzw. geschlagen, wurde aber nicht verletzt. Daraufhin wurden weitere GS mit einer Fahne zu Boden gebracht und geschlagen. Ein GS wurde verletzt und musste stationär im Krankenhaus bleiben. Der GS versuchte mit seinem Telefon den Notrufzu wählen. Eine ubek. Person riss ihm das Telefon dabei aus der Hand. Die BS konnte festgenommen werden. Laut FZA 3/2021 wurde UTF Antifaschismus ergänzt.";1;Links;§249 StGB;Raub;AfD
125;21.02.2021;Reutlingen;"Der UT brachte an Wahlplakaten der Partei ""SPD"" und ""CDU"" Aufkleber mit dem Schriftzug ""Scheißverein"" an.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU, SPD
126;23.02.2021;Tübingen ;"Der BS verteilte im Stadtgebiet von Tübingen Broschüren mit der Aufschrift ""Tübinger LINKE Heft 1/Februar 2021”. Darin ist ein Aufkleber mit folgenden Abkürzungen abgebildet: ""FCK HNSL STRSDT LNK"", wodurch die GS
beleidigt werden. Zudem verwendet er in den Broschüren Fotos der GS, ohne deren Erlaubnis erhalten zu haben. Tatzusammenhang: BW1075/19";1;Nicht zuzuordnen;§185 StGB;Beleidigung;Die Linke
127;25.02.2021;Stuttgart;"Der BS verleumdet in einem Whats App Gruppenchat der Partei ""B90/Die Grünen"" den GS (Landtagskandidat der CDU) als ""verurteilten Sitzungsgeldbetrüger"". Laut AM vom 08.04.2021 handelt es sich beim BS um den Bezirksbeirat der Partei ""B90/Die Grünen"".";1;Nicht zuzuordnen;§187 StGB;Verleumdung;CDU
128;24.02.2021;Baden-Baden;Bekannter Vielschreiber verschickt wiederholt E-Mails mit Kennzeichen verfassungswidriger Organisationen (hier zu meist in Form von Hakenkreuzen) an eine Vielzahl von Empfängern. Darin ruft er im letzten Satz zum Mord an den Ministerpräsident NRW auf. (Schneidet ...(Name Ministerpräsident) den Hals durch und Kopf ab weil er der Nachfolger von ... (Name bekannt) ist und nächster Bundeskanzler werden will?);1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
129;21.02.2021;Lörrach;"UT sprühte an Wände, Mauern, Türen und Fensterscheiben von verschiedenen Gebäuden Schriftzüge wie ""Fight AfD"", ""AFA"" („Anti Faschistische Aktion""), ""161"" (vermutlich ebenfalls Buchstabenfolge „AFA""), ""...(Name bekannt) verpiss dich"", ""NZS BXN"", ""Rassismus tötet"" und ""Kein Ort für Nazis"". Entlang dieser Örtlichkeit fand eine Kundgebung der AfD statt.";0;Links;§303 StGB;Sachbeschädigung;AfD
130;26.02.2021;Schwäbisch Gmünd;UT besprühte mittels roter Farbe das Großflächenplakat der Partei Bündnis90/Die Grünen. Über das Gesicht der Landtagskandidatin wurde ein Fadenkreuz gesprüht.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
131;18.02.2021;Karlsbad;Ein bislang unbekannter Täter beschmierte mittels neongelbem Farbspray das Großflächenwahlplakat (Maße ca. 5 x 3 Meter) der Landtagskandidatin der SPD für den Wahlkreis Ettlingen (Aisha M. Fahir) mit einem großen Hakenkreuz auf deren abgebildeten Porträt.;0;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
132;25.02.2021;Albstadt;"Der UT beschmierte ein Wahlplakat des GS (MdL, SPD) mit dem Wortlaut ""Depp"" und ""Arschlecken"".";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
133;25.02.2021;Albstadt;"UT beschmiert insgesamt drei Wahlplakate (FDP und Bündnis 90/Die Grünen). Das Wahlplakat der Partei Bündnis 90/Die Grünen mit dem Abbild des Flerrn (Name bekannt) wird mit dem Schriftzug ""Arsch"" bemalt. Das Wahlplakat der Partei Bündnis 90/Die Grünen mit Flerrn (Name bekannt) wird durch Übermalen des Mundes mit Farbe und das Wahlplakat der FDP mit Flerrn (Name bekannt) wird durch Übermalen des Mundes mit Farbe beschmiert.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, FDP
134;12.02.2021;Sinsheim;"UT haben auf zwei Landtagswahlplakate der FDP, mit dem Abbild des GS, u.a. Schriftzüge wie ""NSDAP"", ""NPD"" und ""Schwanzlutscher"", auf die Plakate geschrieben.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;FDP
135;28.02.2021;Ettlingen;"UT haben mehrere Wahlplakate u.a. auch der Partei AfD beschädigt. Vor Ort wurde festgestellt, dass über bzw. unter den Wahlplakaten verschiedener Parteien jeweils ein Plakat der „JUSOS Karlsruhe-Land"" mittels Kabelbinder angebracht waren, die in ihrem Design dem ursprünglichen Plakat gleichen. Darüber hinaus trugen sie -angepasst an die Wahlsprüche der jeweiligen Partei -Slogans wie „FÜR RECHT UND FREIHEIT STATT RECHTER HETZE"" (AfD), „MIT RECHTEN TAKTIEREN? UNTE PLAKATE MACHEN'S AUCH NICHT BESSER."" (FDP) oder „Rot wählen für Klimagerechtigkeit"" (Bündnis 90/Die Grünen) und das Logo der „JUSOS Karlsruhe-Land"". Durch die Anbringung der Slogans „FÜR RECHT UND FREIHEIT STATT RECHTER HETZE"" und „FCK AFD"" über einem AfD-Wahlplakat, das den Namen und das Portrait des Geschädigten zeigt, fühlt sich dieser in seiner persönlichen Ehre verletzt und beleidigt. Es konnte die BS ermittelt werden. Laut FZA 3/2021 wurde UAZ Sonstige Partei gelöscht.";1;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;AfD
136;22.02.2021;Lauffen ;"UT beschädigte durch Besprühen mit Farbe drei 0Wahlplakate der Partei WiR 2020. Bei einem wurde zudem das Gesicht des Wahlkandidaten mit einem Aufkleber
„Lieber klar denken als quer denken"" beklebt. Zusammenhang mit cov#19.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Sonstige Partei
137;20.02.2021;Schwäbisch Gmünd;"Durch den AfD-Kandidaten R.R. wurde vom Wahlstand aus eine vorbeilaufende männliche Person angesprochen und ein Flyer angeboten. Diese Person antwortete dem Geschädigten: ""Wenn Du mich noch einmal ansprichst, haue ich Dir in die Fresse!""";0;Nicht zuzuordnen;§240 StGB;Nötigung;AfD
138;21.02.2021;Konstanz;"Bislang UT besprüht das Wahlplakat des Kandidaten der FDP, dem GS Jürgen K., mit schwarzer Farbe. Die UT sprüht, vermutlich unter zur Flilfenahme einer Schablone den Text ""antifacist action"" im rechten Bereich des Plakates. Weiterhin wurde beim Familiennamen K. der Buchstabe ""C"" geschwärzt.";0;Links;§303 StGB;Sachbeschädigung;FDP
139;14.02.2021;Stuttgart;UT überklebten acht Wahlplakaten des GS (Landtagskandidat der CDU) im Wahlkreis IV.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
140;28.02.2021;Lahr;"UT beschmierte ein Wahlplakat der Partei SPD (sog. Wesselmänner) des Kandidaten K.K mit dem Wort ""Diktator"".";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
141;11.02.2021;Konstanz;"Der BS verschickte zwei E-Mails, in denen Politiker auf herabwürdigende Art und Weise beleidigt und denunziert werden. U.a. heißt es: ""Altmaier (CDU), dieser kriminelle Fettsack, hat im Zeitraum von 2013 bis 2018 - zusammen mit dem Mezier (CDU), diesem verpissten Verfassungsfeind, schwere Bürgerrechtsverletzungen organisiert. Dieser verpisste CDU Verfassungsfeind -zusammen mit dem Mezier (CDU) - hat in übelster Weise gegen Bürgerrechte gehetzt, Ziercke und Münch, diese asozialen Dreckskriminellen, zu fortgesetzten Bürgerrechtsverletzungen schwerster Art aufgestachelt, diese Bande krimineller Asozialer in ihrem Amt gehalten und damit fortgesetzte schwerste Bürgerrechtsverletzungen unterstützt. DAS IST EIN ASOZIALER KRIMINELLER; DER NICHT DAS ALLERGERINGSTE INTERESSE AN AUFKLÄRUNG HAT!"" Inhaltlich beziehen sich die Mails wahrscheinlich auf die aktuellen Corona-Maßnahmen. cov#19.";1;Nicht zuzuordnen;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;CDU
142;01.02.2021;Baden-Baden;Der BS, bereits aktenkundig als sog. Vielschreiber, hat dem Anzeiger, Mitglied der AFD Saarland, eine E-Mail übersandt, in welcher in der Betreffzeile ein Hakenkreuz verwendet wurde. Der Titel der Betreffzeile lautet: Symbol Hakenkreuz- Faschistischer Rechtsextremismus: W. K. (Staatsschutz) u. M.M. (CDU).;1;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
143;20.01.2021;Wertheim;"Ein Mailschreiber (j-p.schneider23@outlook.de) beleidigt in Schreiben an die Stadtverwaltung Wertheim verschiedene deutsche Politiker, darunter auch Frau Dr. Angela Merkel, die Bundeskanzlerin. Hierzu schreibt er: ""Frau Dr. Merkel (CDU) ist eine asoziale DRECKSAU übelster Sorte"". Für andere Politiker wurden Schimpfwörter wie ""kriminelles"" oder ""asoziales Dreckschwein"" benutzt.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
144;11.02.2021;Baden-Baden;"Der BS („Vielschreiber"") versandte eine von ihm selbst verfasste E-Mail an einen größeren Adressatenkreis. Die ersten Ausführungen in der E-Mail lauten wie folgt: (im Original übernommen) „Immer wenn man schreibt: Mordet die Faschistenfotzen A. K.-K., M. M., A. M. und J. S.I, dann sind die Faschistenfotzen entweder beleidigt und/oder fühlen sich bedroht.""";1;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
145;21.02.2021;Heilbronn;UT beschmierte Wahlplakate der AfD.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;AfD
146;06.03.2021;Balingen;"UT beschmiert am Ort insgesamt 5 Wahlkampfplakate verschiedener Parteien u.a. mit „CORONA DIKTATUR"". Ferner werden Beleidigungen von Politikern gesprüht/geschrieben. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CDU, FDP
147;04.03.2021;Esslingen;"UT beschmierten Wahlplakate der AfD. Auf dem Plakat ist das Gesicht des darauf abgebildeten K.-D. V. beschmiert, sowie die Worte ""Nazi"" und ""raus"" darauf abgebildet.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;AfD
148;02.03.2021;Balingen;"UT beschmiert die Wahlplakate der Parteien ""DIE LINKE"" und ""DIE GRÜNEN"" mit Schriftzügen. Dabei wird auf dem Plakat ""DIE GRÜNEN"" neben dem Bild des Ministerpräsidenten der Satz: ""Grundgesetz + Demokratie Zerstörer"" aufgebracht. Zudem wird ein Mundschutz aufgesprüht. Auf dem Plakat ""DIE LINKE"" wird neben der Spitzenkandidatin das Wort ""Antifa"" aufgebracht und ein Mundschutz aufgesprüht. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, Die Linke
149;01.03.2021;Balingen;"UT beschmiert ein Wahlplakat des SPD Landtagswahlkandidaten (Mundschutz wurde aufgemalt, Aufschrift ""Volksverräter""). cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
150;26.02.2021;Göppingen ;"UT besprüht ein Wahlplakat der Partei „Bündnis 90/Die Grünen"". Dabei werden die letzten zwei Worte des abgebildeten Wahlslogans „Kanten geben Halt"" mit schwarzer Farbe übersprüht. Über die verdeckten Worte wird mit grüner Farbe „grenzen ein"" geschrieben. Zudem wird dem abgebildeten Ministerpräsident IC ein Joint an dem Mund gesprüht. Außerdem werden ein Wahlplakat der Grünen und zwei Wahlplakate der CDU mit dem Aufkleber „Einsperren-Wegsperren"" beklebt.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CDU 
151;01.03.2021;Dotternhausen;"UT beschmierte das Wahlplakat des Kandidaten der Partei ""FDP"" mit der Aufschrift ""Grundgesetz + Volksverräter"".";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;FDP
152;01.03.2021;Dotternhausen;"UT beschmierte das Wahlplakat der Kandidatin der Partei ""CDU"" durch die Aufschrift ""GG-Verräter"", sowie das aufsprühen eines Mundschutzes. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
153;01.03.2021;Balingen;"UT beschmierte ein Wahlplakat mit der Kandidatin der Partei ""SPD"" indem ihr ein Mundschutz aufgemalt wurde mit der Aufschrift ""Wirtschaftsvernichter"" u.w. cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
154;27.02.2021;Walldorf;"UT schmierten ""INK"", ""ACAB"", ""FREE"", ""FUCK YOU"", ""FCK CPS"", ""FCK NZS"", und ""LAANCE"" auf Verteilerkästen, Bushaltestellen u.a. Ebenso wurden mehrere Wahlplakate des AfD Kandidaten A. K. übersprüht bzw. mit der Aufschrift ""Nazi"" versehen.";0;Links;§303 StGB;Sachbeschädigung;AfD
155;01.03.2021;Dotternhausen;"UT beschmierten Wahlplakate der Partei ""FDP"" indem unter dem Namen des Kandidaten ""WÄHLEN SIE....? unleserlich AUS DER KRIESE"" und ""Grundgesetz + Volksverräter"" (Schreibfehler übernommen. Bei dem Wahlplakat der Partei ""CDU"" findet sich über den Teilen des Wahlspruchs ""CDU WÄHLEN, WEIL WIR ""GAS GEBEN UND STROM UND WASSER ? unleserlich ... ""Grundgesetz Zerstören!"". Auf einem weiteren Plakat wurden die Worte ""DEMOKRATIE"" und ergänzt durch ""GG-Verräter"". Der Kandidatin wurde eine Atemschutzmaske aufgesprüht.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU, FDP
156;01.03.2021;Albstadt;"UT beschmiert ein Wahlplakat des SPD Kandidaten A. S. (Mundschutz wird aufgemalt und ""Depp"" / ""Arschlecken""). cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
157;01.03.2021;Albstadt;"UT beschmiert ein Wahlplakat der SPD Kandidatin A. L. Es wurde ein Mundschutz aufgemalt und der Schriftzug ""Demokratie zerstören"". cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
158;20.02.2021;Stuttgart;UT kommentierten einen Post mit einer Abbildung des Ministerpräsidenten W. K. mit beleidigenden Kommentaren. cov#19;0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
159;13.02.2021;Schramberg;"UT besprühte insgesamt drei großflächige Wahlplakate der CDU Spitzenkandidatin u.a. mit ""Verbrecher"" bzw. ""Korrupt"".";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
160;26.02.2021;Köngen;"UT beschädigte Wahlplakate an der Kreuzung Benzengrabenstr/Zeppelinstraße und an der Einmündung Benzengrabenstr/Steinbruchstr. in Köngen. Betroffen waren Wahlplakate der CDU-Kandidatin E. (beschmiert mit: ""Nicht verziehen! Schwarzer Donnerstag"" und ""Smash"", Zähne schwarz angemalt, ""Ich hasse alle Erzieher"", Teufelshörner, Augen schwarz angemalt).";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
161;20.02.2021;Baden-Baden;Bekannter Vielschreiber versendet wiederholt E-Mails mit Kennzeichen verfassungswidriger Organisationen (hier in Form von Hakenkreuzen) an eine Vielzahl von Empfängern. In der vorliegenden E-Mail kommt es zu Beleidigungen, Bedrohungen und Mordaufrufen u.a. zum Nachteil der Oberbürgermeisterin der Stadt Baden-Baden, Frau M.M..;1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
162;14.03.2021;Pliezhausen;"UT überklebte vier Wahlplakate der Parteien CDU und Die Grünen mit: ""Diese Partei bringt uns den Volkstod Heimat verteidigen Volksverräter benennen"".";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CDU
163;17.02.2021;Baden-Baden;Bekannter Vielschreiber versendet wiederholt E-Mails mit Hakenkreuzen an eine Vielzahl von Empfängern. Zudem ruft er in der E-Mail zur Ermordung der Oberbürgermeisterin der Stadt Baden-Baden, Frau M.M., auf.;1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
164;13.02.2021;Bad Wildbad;"UT beschädigten Wahlplakate der CDU und schreiben auf einem großen Plakat, das den Bürgermeister der Stadt Bad Wildbad mit dem Landtagsabgeordneten B. zeigt die Worte ""Heuchler"" und ""Lügge"".";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
165;03.03.2021;Fellbach;"UT überklebte auf einem CDU-Wahlplakat die Mundpartie des Landtagskandidaten S. L. mit folgendem Aufkleber: ""corona-ausschuss.de"". cov#19";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
